image,incidence_angle_deg,h,k,l,qr_family_m,legacy_branch_index,observed_column_px,observed_row_px,sigma_px,legacy_placement_error_px,legacy_raw_x,legacy_raw_y,source_reflection_index,source_row_index,legacy_two_theta_deg,legacy_phi_deg
Bi2Se3_10d_5m.osc,10.0,-2,0,5,4,0,2499.9496074082936,1331.4140707597035,0.7799265804688392,0.2139753979358766,499.0503925917063,1331.4140707597035,356,61,52.8417128741172,74.49663258163241
Bi2Se3_10d_5m.osc,10.0,-2,0,10,4,1,322.99842981377606,887.7041087409652,0.8013117339813333,0.28213559686110323,2676.001570186224,887.7041087409652,404,154,62.05132336216168,-59.933350776550725
Bi2Se3_10d_5m.osc,10.0,-2,0,10,4,0,2654.5495608607116,891.2787047804259,2.1731728952364944,2.0396520371353954,344.4504391392883,891.2787047804259,404,13,60.268937236926675,57.54926666392461
Bi2Se3_10d_5m.osc,10.0,-2,1,15,3,0,2593.2298911847765,257.6597000753937,1.8395196144988257,1.6796822354617875,405.7701088152233,257.6597000753937,302,70,66.18267702112963,38.03415301284372
Bi2Se3_10d_5m.osc,10.0,-2,1,15,3,1,366.03954510034646,202.2310906893941,1.4085204603965802,1.192237345227784,2632.9604548996535,202.2310906893941,302,137,67.67424129263654,-40.261819154729096
Bi2Se3_15d_5m.osc,12.0,0,0,3,0,1,1544.2156013244887,1472.9611791398756,0.8463449287436908,0.39217309750945817,1454.7843986755113,1472.9611791398756,12,27,9.313623684942504,-1.00087140092009
Bi2Se3_15d_5m.osc,12.0,0,0,6,0,1,1539.052890785051,1343.640035478175,0.8084459617165146,0.30180270544801324,1459.947109214949,1343.640035478175,19,26,18.598379010734693,-1.669792111114191
Bi2Se3_15d_5m.osc,12.0,0,0,9,0,0,1537.5064264311657,1196.4476320507986,0.7534583543426346,0.07210750119586194,1461.4935735688343,1196.4476320507986,26,22,28.046897344935168,-1.2695318833977183
Bi2Se3_15d_5m.osc,12.0,-1,0,5,1,0,1903.9753847495772,1376.6425326757437,2.263914726720988,2.136073474828094,1095.0246152504228,1376.6425326757437,111,61,29.218659649005055,58.48256687516013
Bi2Se3_15d_5m.osc,12.0,-1,0,5,1,1,1170.8437602968256,1387.5101119172698,2.7764110344297053,2.6731925168425534,1828.1562397031744,1387.5101119172698,111,122,29.79838459142482,-60.97039081995656
Bi2Se3_15d_5m.osc,12.0,-1,0,4,1,1,1181.7009148568604,1425.5610639394076,0.9050857817935026,0.5066362328187315,1817.2990851431396,1425.5610639394076,86,176,28.221977858715988,-64.95877799585286
Bi2Se3_15d_5m.osc,12.0,-1,0,4,1,0,1897.665222452677,1417.198939507943,1.1752922138827446,0.9048821956549943,1101.334777547323,1417.198939507943,86,11,27.722894833944814,63.03449116413876
Bi2Se3_15d_5m.osc,12.0,-1,0,8,1,0,1924.5157147757434,1227.5558937159458,0.8291100738770021,0.3534452073579833,1074.4842852242566,1227.5558937159458,138,11,35.140582455118754,45.750268111797794
Bi2Se3_15d_5m.osc,12.0,-1,0,8,1,1,1143.2408277045183,1233.7075292509164,1.038825649659653,0.718789767867351,1855.7591722954817,1233.7075292509164,138,172,35.85262446745717,-48.06101093298881
Bi2Se3_15d_5m.osc,12.0,-1,0,10,1,1,1117.3644169084337,1111.5794541592636,0.8080697811591435,0.30079356911773575,1881.6355830915663,1111.5794541592636,160,158,40.784624075542524,-41.5336150672581
Bi2Se3_15d_5m.osc,12.0,-1,0,10,1,0,1942.9390171603322,1107.0926344973318,3.9231106079412927,3.850752763050557,1056.0609828396678,1107.0926344973318,160,13,40.00616117301506,39.050238742125885
Bi2Se3_15d_5m.osc,12.0,-1,0,11,1,0,1954.8538031733324,1038.8929519202657,0.7939040033581996,0.2603527732676879,1044.1461968266676,1038.8929519202657,187,13,42.644931065786125,36.25267276418714
